code,start_date,end_date
000776.SZ,1997-06-11,2099-01-01
000777.SZ,1997-07-10,2099-01-01
000778.SZ,1997-06-06,2099-01-01
000779.SZ,1997-05-28,2099-01-01
000780.SZ,1997-06-06,2099-01-01
000782.SZ,1997-06-19,2099-01-01
000783.SZ,1997-07-31,2099-01-01
000785.SZ,1997-07-11,2099-01-01
000786.SZ,1997-06-06,2099-01-01
000787.SZ,1997-06-26,2013-02-08
000788.SZ,1997-06-16,2099-01-01
000789.SZ,1997-09-23,2099-01-01
000790.SZ,1998-03-27,2099-01-01
000791.SZ,1997-10-14,2099-01-01
000792.SZ,1997-09-04,2099-01-01
000793.SZ,1997-07-29,2099-01-01
000795.SZ,1997-08-08,2099-01-01
000796.SZ,1997-07-03,2099-01-01
000797.SZ,1997-07-15,2099-01-01
000798.SZ,1998-02-12,2099-01-01
000799.SZ,1997-07-18,2099-01-01
000800.SZ,1997-06-18,2099-01-01
000801.SZ,1998-05-06,2099-01-01
000802.SZ,1998-01-08,2099-01-01
000803.SZ,1998-03-03,2099-01-01
000805.SZ,1998-05-29,2013-03-27
000806.SZ,1998-04-16,2099-01-01
000807.SZ,1998-04-08,2099-01-01
000809.SZ,1998-06-16,2099-01-01
000810.SZ,1998-06-02,2099-01-01
000811.SZ,1998-05-28,2099-01-01
000812.SZ,1998-06-23,2099-01-01
000813.SZ,1998-05-19,2099-01-01
000815.SZ,1998-06-09,2099-01-01
000816.SZ,1997-08-18,2099-01-01
000818.SZ,1997-10-17,2099-01-01
000819.SZ,1997-06-25,2099-01-01
000820.SZ,1998-06-30,2099-01-01
000821.SZ,1998-06-26,2099-01-01
000822.SZ,1998-07-03,2099-01-01
000823.SZ,1997-10-08,2099-01-01
000825.SZ,1998-10-21,2099-01-01
000826.SZ,1998-02-25,2099-01-01
000828.SZ,1997-06-17,2099-01-01
000829.SZ,1997-12-02,2099-01-01
000830.SZ,1998-08-07,2099-01-01
000831.SZ,1998-09-11,2099-01-01
000833.SZ,1998-11-11,2099-01-01
000835.SZ,1999-06-25,2099-01-01
000836.SZ,1997-09-29,2099-01-01
000837.SZ,1998-09-28,2099-01-01
000838.SZ,1997-06-26,2099-01-01
000839.SZ,1997-10-31,2099-01-01
000848.SZ,1997-11-13,2099-01-01
000850.SZ,1998-10-07,2099-01-01
000851.SZ,1998-06-09,2099-01-01
000852.SZ,1998-11-26,2099-01-01
000856.SZ,1998-08-13,2099-01-01
000858.SZ,1998-04-27,2099-01-01
000859.SZ,1998-11-19,2099-01-01
000860.SZ,1998-11-04,2099-01-01
000861.SZ,1998-10-28,2099-01-01
000862.SZ,1998-09-15,2099-01-01
000863.SZ,1997-09-25,2099-01-01
000868.SZ,1997-07-25,2099-01-01
000869.SZ,2000-10-26,2099-01-01
000875.SZ,2002-09-26,2099-01-01
000876.SZ,1998-03-11,2099-01-01
000877.SZ,1999-01-07,2099-01-01
000878.SZ,1998-06-02,2099-01-01
000880.SZ,1998-04-02,2099-01-01
000881.SZ,1998-09-02,2099-01-01
000882.SZ,1998-06-16,2099-01-01
000883.SZ,1998-05-19,2099-01-01
000885.SZ,1999-03-19,2099-01-01
000886.SZ,1998-01-23,2099-01-01
000887.SZ,1998-12-03,2099-01-01
000888.SZ,1997-10-21,2099-01-01
000889.SZ,1997-12-18,2099-01-01
000890.SZ,1999-01-19,2099-01-01
000892.SZ,1999-01-15,2099-01-01
000893.SZ,1998-12-24,2099-01-01
000895.SZ,1998-12-10,2099-01-01
000897.SZ,1999-04-22,2099-01-01
000898.SZ,1997-12-25,2099-01-01
000899.SZ,1997-11-26,2099-01-01
000900.SZ,1999-01-28,2099-01-01
000901.SZ,1999-04-01,2099-01-01
000902.SZ,1999-04-08,2099-01-01
000903.SZ,1999-04-15,2099-01-01
000905.SZ,1999-04-29,2099-01-01
000906.SZ,1999-07-07,2099-01-01
000908.SZ,1999-02-03,2099-01-01
000909.SZ,1999-05-07,2099-01-01
000910.SZ,1999-06-30,2099-01-01
000911.SZ,1999-05-27,2099-01-01
000912.SZ,1999-06-03,2099-01-01
000913.SZ,1999-05-14,2099-01-01
000915.SZ,1999-06-09,2099-01-01
000916.SZ,1999-09-27,2099-01-01
000917.SZ,1999-03-25,2099-01-01
000918.SZ,1999-07-20,2099-01-01
000919.SZ,1999-11-18,2099-01-01
000920.SZ,1999-06-16,2099-01-01
000921.SZ,1999-07-13,2099-01-01
000922.SZ,1999-06-18,2099-01-01
000923.SZ,1999-07-14,2099-01-01
000925.SZ,1999-06-11,2099-01-01
000926.SZ,1999-06-18,2099-01-01
000927.SZ,1999-07-27,2099-01-01
000928.SZ,1999-03-12,2099-01-01
000929.SZ,1999-06-23,2099-01-01
000930.SZ,1999-07-12,2099-01-01
000931.SZ,1999-07-12,2099-01-01
000932.SZ,1999-08-03,2099-01-01
000933.SZ,1999-08-31,2099-01-01
000935.SZ,1999-08-24,2099-01-01
000936.SZ,1999-08-10,2099-01-01
000937.SZ,1999-09-09,2099-01-01
000938.SZ,1999-11-04,2099-01-01
000939.SZ,1999-09-23,2099-01-01
000948.SZ,1999-10-14,2099-01-01
000949.SZ,1999-10-21,2099-01-01
000950.SZ,1999-09-16,2099-01-01
000951.SZ,1999-11-25,2099-01-01
000952.SZ,1999-11-12,2099-01-01
000953.SZ,1999-12-02,2099-01-01
000955.SZ,1999-12-09,2099-01-01
000957.SZ,2000-01-13,2099-01-01
000958.SZ,1999-12-23,2099-01-01
000959.SZ,1999-12-16,2099-01-01
000960.SZ,2000-02-21,2099-01-01
000961.SZ,2000-03-01,2099-01-01
000962.SZ,2000-01-20,2099-01-01
000963.SZ,2000-01-27,2099-01-01
000965.SZ,2000-04-06,2099-01-01
000966.SZ,2000-03-16,2099-01-01
000967.SZ,2000-03-30,2099-01-01
000968.SZ,2000-06-22,2099-01-01
000969.SZ,2000-05-29,2099-01-01
000970.SZ,2000-04-20,2099-01-01
000971.SZ,2000-04-27,2099-01-01
000972.SZ,2000-09-26,2099-01-01
000973.SZ,2000-05-25,2099-01-01
000975.SZ,2000-06-08,2099-01-01
000976.SZ,2000-06-01,2099-01-01
000977.SZ,2000-06-08,2099-01-01
000978.SZ,2000-05-18,2099-01-01
000979.SZ,2000-06-16,2099-01-01
000980.SZ,2000-06-16,2099-01-01
000981.SZ,2000-06-22,2099-01-01
000982.SZ,2000-07-06,2099-01-01
000983.SZ,2000-07-26,2099-01-01
000985.SZ,2000-07-26,2099-01-01
000987.SZ,2000-07-18,2099-01-01
000988.SZ,2000-06-08,2099-01-01
000989.SZ,2000-06-28,2099-01-01
000990.SZ,2000-07-06,2099-01-01
000993.SZ,2000-07-31,2099-01-01
000995.SZ,2000-08-07,2099-01-01
000996.SZ,2000-07-18,2099-01-01
000997.SZ,2000-08-07,2099-01-01
000998.SZ,2000-12-11,2099-01-01
000999.SZ,2000-03-09,2099-01-01
001696.SZ,1997-03-06,2099-01-01
001896.SZ,1998-01-22,2099-01-01
001979.SZ,2015-12-30,2099-01-01
002001.SZ,2004-06-25,2099-01-01
002002.SZ,2004-06-25,2099-01-01
002003.SZ,2004-06-25,2099-01-01
002004.SZ,2004-06-25,2099-01-01
002005.SZ,2004-06-25,2099-01-01
002006.SZ,2004-06-25,2099-01-01
002007.SZ,2004-06-25,2099-01-01
002008.SZ,2004-06-25,2099-01-01
002009.SZ,2004-06-29,2099-01-01
002010.SZ,2004-06-29,2099-01-01
002011.SZ,2004-07-05,2099-01-01
002012.SZ,2004-07-05,2099-01-01
002013.SZ,2004-07-05,2099-01-01
002014.SZ,2004-07-08,2099-01-01
002015.SZ,2004-07-08,2099-01-01
002016.SZ,2004-07-08,2099-01-01
002017.SZ,2004-07-13,2099-01-01
002018.SZ,2004-07-13,2099-01-01
002019.SZ,2004-07-13,2099-01-01
002020.SZ,2004-07-15,2099-01-01
002021.SZ,2004-07-15,2099-01-01
002022.SZ,2004-07-21,2099-01-01
002023.SZ,2004-07-21,2099-01-01
002024.SZ,2004-07-21,2099-01-01
002025.SZ,2004-07-26,2099-01-01
002026.SZ,2004-07-27,2099-01-01
002027.SZ,2004-08-04,2099-01-01
002028.SZ,2004-08-05,2099-01-01
002029.SZ,2004-08-06,2099-01-01
002030.SZ,2004-08-09,2099-01-01
002031.SZ,2004-08-16,2099-01-01
002032.SZ,2004-08-17,2099-01-01
002033.SZ,2004-08-25,2099-01-01
002034.SZ,2004-08-26,2099-01-01
002035.SZ,2004-09-01,2099-01-01
002036.SZ,2004-09-03,2099-01-01
002037.SZ,2004-09-08,2099-01-01
002038.SZ,2004-09-09,2099-01-01
002039.SZ,2005-03-03,2099-01-01
